"","x"
"1",23.4317684859702
"2",23.4317309410701
"3",23.431533385137
"4",23.4311791224236
"5",23.4306783091019
"6",23.430046894972
"7",23.429305565171
"8",23.4284786818815
"9",23.4275932260412
"10",23.4266777390508
"11",23.4257612644834
"12",23.4248722897933
"13",23.4240376880248
"14",23.4232816595208
"15",23.422624673632
"16",23.4220824104253
"17",23.4216647094203
"18",23.4213748164997
"19",23.4212096399305
"20",23.4211605323789
"21",23.4212141039273
"22",23.4213530350919
"23",23.421556889841
"24",23.4218029286129
"25",23.4220669213334
"26",23.4223239604345
"27",23.4225492738715
"28",23.4227190381416
"29",23.4228111913016
"30",23.4228062459857
"31",23.4226881024236
"32",23.4224448594698
"33",23.4220694732173
"34",23.4215597204612
"35",23.4209176853693
"36",23.4201492048368
"37",23.4192633138154
"38",23.4182716906423
"39",23.41718810237
"40",23.4160278500949
"41",23.4148072142869
"42",23.4135429001186
"43",23.4122514827944
"44",23.4109488528798
"45",23.4096496616307
"46",23.4083667663224
"47",23.4071106759815
"48",23.4058890630261
"49",23.4047066862524
"50",23.403565683781
"51",23.4024659116856
"52",23.4014052827471
"53",23.400380105208
"54",23.3993854215267
"55",23.3984153471318
"56",23.3974634091764
"57",23.3965228852923
"58",23.3955871423447
"59",23.3946499751859
"60",23.39370594541
"61",23.3927507201071
"62",23.3917814105605
"63",23.3907968838405
"64",23.3897978381425
"65",23.3887865997817
"66",23.3877668724151
"67",23.3867434859143
"68",23.3857221452379
"69",23.3847091793042
"70",23.3837112898633
"71",23.3827353003701
"72",23.3817879048567
"73",23.3808754168047
"74",23.380003518018
"75",23.3791770074953
"76",23.3783995503023
"77",23.37767342645
"78",23.3769992936468
"79",23.3763761234399
"80",23.3758014053725
"81",23.3752714138532
"82",23.3747814759657
"83",23.3743262392772
"84",23.3738999396487
"85",23.3734966690433
"86",23.373110643336
"87",23.3727364701228
"88",23.3723694165296
"89",23.3720056770221
"90",23.3716426412142
"91",23.371279161678
"92",23.3709158217524
"93",23.3705551942316
"94",23.3702019311549
"95",23.3698625097119
"96",23.3695448699931
"97",23.3692580498897
"98",23.3690118199929
"99",23.3688163184942
"100",23.3686816860848
"101",23.3686177008552
"102",23.3686334131956
"103",23.3687367806951
"104",23.3689343030414
"105",23.3692306569209
"106",23.3696283309183
"107",23.3701272604163
"108",23.3707244686468
"109",23.371413884255
"110",23.3721866350737
"111",23.3730315412066
"112",23.3739356165489
"113",23.3748845703076
"114",23.3758633085218
"115",23.3768564355826
"116",23.3778487557539
"117",23.3788257746924
"118",23.3797742009681
"119",23.3806824475841
"120",23.3815411334976
"121",23.3823435851396
"122",23.3830863379355
"123",23.3837696343804
"124",23.3843977578877
"125",23.3849787747694
"126",23.3855239488861
"127",23.3860471352794
"128",23.3865641738023
"129",23.3870922827502
"130",23.3876494524916
"131",23.3882538390984
"132",23.3889231579771
"133",23.3896740774993
"134",23.3905216126322
"135",23.3914785185696
"136",23.3925546843625
"137",23.3937565265495
"138",23.395086384274
"139",23.3965420461111
"140",23.3981169184412
"141",23.3998006602616
"142",23.4015798617066
"143",23.4034387226078
"144",23.4053597310546
"145",23.4073243419541
"146",23.4093136555916
"147",23.4113090961906
"148",23.4132930904731
"149",23.41524974622
"150",23.4171655308312
"151",23.4190299498856
"152",23.4208362257018
"153",23.4225819754006
"154",23.4242697899258
"155",23.425907150317
"156",23.4275057124155
"157",23.4290805077248
"158",23.4306491439769
"159",23.432231005699
"160",23.4338464547805
"161",23.4355160310391
"162",23.4372596527878
"163",23.4390958174014
"164",23.4410408018831
"165",23.4431078634312
"166",23.4453064400057
"167",23.4476413508948
"168",23.4501119974025
"169",23.4527116397891
"170",23.4554273905423
"171",23.4582411019556
"172",23.461130417975
"173",23.4640698274721
"174",23.4670317175168
"175",23.4699874266508
"176",23.4729082981603
"177",23.4757667333491
"178",23.4785372448115
"179",23.4811975097056
"180",23.4837294230264
"181",23.4861201508781
"182",23.4883631837481
"183",23.4904593897657
"184",23.492418010249
"185",23.4942568729635
"186",23.4960013231604
"187",23.4976828346236
"188",23.4993376152522
"189",23.5010052126423
